Episod,RecompensaTotala,Epsilon
1,-845171,1.0000
2,-1113074,0.9900
3,-856520,0.9801
4,-731534,0.9703
5,-782704,0.9606
6,-832251,0.9510
7,-681442,0.9415
8,-862377,0.9321
1,-930775,1.0000
1,-774843,1.0000
2,-868584,0.9900
3,-789977,0.9801
4,-863466,0.9703
5,-738509,0.9606
6,-865600,0.9510
7,-824240,0.9415
8,-941004,0.9321
9,-907075,0.9227
10,-975108,0.9135
11,-933006,0.9044
12,-1037680,0.8953
13,-799899,0.8864
14,-1038268,0.8775
15,-691112,0.8687
16,-745758,0.8601
17,-734957,0.8515
18,-867010,0.8429
19,-979356,0.8345
20,-931042,0.8262
21,-675844,0.8179
22,-735272,0.8097
23,-986962,0.8016
24,-874879,0.7936
25,-972028,0.7857
26,-650815,0.7778
27,-796502,0.7700
28,-811376,0.7623
29,-721821,0.7547
30,-990717,0.7472
31,-939342,0.7397
32,-968591,0.7323
33,-693684,0.7250
34,-771167,0.7177
35,-883728,0.7106
36,-596143,0.7034
37,-913012,0.6964
38,-702160,0.6894
39,-711354,0.6826
40,-832532,0.6757
41,-508269,0.6690
42,-1146608,0.6623
43,-788970,0.6557
44,-498032,0.6491
45,-869119,0.6426
46,-997459,0.6362
47,-1231788,0.6298
48,-1182990,0.6235
49,-1360536,0.6173
50,-510531,0.6111
51,-587254,0.6050
52,-1072224,0.5990
53,-1031539,0.5930
54,-1170617,0.5870
55,-1510687,0.5812
56,-1106835,0.5754
57,-559815,0.5696
58,-1064952,0.5639
59,-1234718,0.5583
60,-540160,0.5527
61,-1175554,0.5472
62,-1246820,0.5417
63,-1470829,0.5363
64,-1186445,0.5309
65,-1443931,0.5256
66,-778266,0.5203
67,-1527742,0.5151
68,-1449367,0.5100
69,-1530324,0.5049
70,-462183,0.4998
71,-737558,0.4948
72,-759652,0.4899
73,-1418680,0.4850
74,-1470115,0.4801
75,-1366752,0.4753
76,-1444002,0.4706
77,-1441311,0.4659
78,-1604745,0.4612
79,-1703161,0.4566
80,-1817179,0.4520
81,-666424,0.4475
82,-1273192,0.4430
83,-1569494,0.4386
84,-1441861,0.4342
85,-761033,0.4299
86,-1273383,0.4256
87,-1004960,0.4213
88,-763032,0.4171
89,-942000,0.4129
90,-2212400,0.4088
91,-612438,0.4047
92,-804076,0.4007
93,-1310111,0.3967
94,-1054447,0.3927
95,-1358202,0.3888
96,-808910,0.3849
97,-652922,0.3810
98,-1212567,0.3772
99,-1848329,0.3735
100,-1912706,0.3697
1,-3213720,0.3697
1,-813515,1.0000
